Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate_Score,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Communication and Information Sciences,Information and Communication Science,251,16.71,63.68,True,1,admitted,"A1, C6, C5, A1, B3"
Arts,Arabic,376,23.44,87.24,True,1,admitted,"B3, A1, B2, C5, B2"
Engineering and Technology,Materials & Metallurgical Engineering,173,22.52,58.94,True,1,not admitted,"A1, B3, B2, C6, C6"
Management Sciences,Finance,252,17.58,65.88,True,2,admitted,"B2, A1, B3, C5, B2"
Agriculture,Crop Protection,142,1.77,35.12,True,1,not admitted,"B3, C5, A1, C4, B3"
Arts,Arabic,293,28.78,79.0,True,2,admitted,"C5, A1, C4, C6, C5"
Agriculture,Home Economics and Food Science,366,19.63,78.58,True,2,admitted,"C6, C5, B2, C5, C4"
Veterinary Medicine,Veterinary Medicine,389,21.52,83.75,True,1,admitted,"C6, B3, C6, B3, B3"
Environmental Sciences,Architecture,246,13.85,59.0,True,2,admitted,"C4, C5, B2, C6, B2"
Pharmaceutical Sciences,Pharmacy,235,8.17,55.95,True,2,admitted,"A1, C4, A1, B2, A1"
Law,Law,391,6.51,70.19,True,1,admitted,"C5, B3, B3, A1, C6"
Management Sciences,Marketing,315,26.27,78.44,True,1,admitted,"C6, C4, C5, C5, B3"
Engineering and Technology,Mechanical Engineering,398,12.62,74.77,True,2,admitted,"C4, C4, C5, C6, C5"
Environmental Sciences,Urban and Regional Planning,316,11.35,64.45,True,1,admitted,"A1, C5, C5, C5, C5"
Veterinary Medicine,Veterinary Medicine,207,17.47,58.14,True,1,admitted,"B3, C5, C5, A1, C4"
Veterinary Medicine,Veterinary Medicine,240,2.53,47.33,True,2,not admitted,"B2, C5, A1, C4, C6"
Basic Medical Sciences,Physiology,290,18.68,70.93,True,2,admitted,"C6, B2, B3, B2, B2"
Communication and Information Sciences,Computer Science,277,16.84,64.67,True,2,admitted,"C5, C6, C4, B2, C5"
Physical Sciences,Physics,348,24.03,84.33,True,1,admitted,"B2, B2, A1, B3, C5"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,214,5.31,46.46,True,1,not admitted,"C6, A1, C4, B2, C6"
Agriculture,Agricultural Extension and Rural Development,357,7.49,66.92,True,1,admitted,"C6, C4, B2, C4, B2"
Veterinary Medicine,Veterinary Medicine,391,23.37,87.84,True,1,admitted,"B3, C5, A1, B3, C4"
Social Sciences,Psychology,318,11.82,64.77,True,2,admitted,"B3, C6, B3, C6, C4"
Social Sciences,Political Science,289,22.41,74.94,True,1,admitted,"A1, B3, C6, B3, A1"
Arts,Performing Arts,166,29.45,65.0,True,2,not admitted,"B3, B2, A1, C6, C6"
Engineering and Technology,Agricultural and Biosystems Engineering,141,5.08,37.1,True,2,not admitted,"C6, B3, B3, C5, B2"
Life Sciences,Microbiology,292,12.68,65.18,True,2,admitted,"B2, B3, C4, A1, C5"
Veterinary Medicine,Veterinary Medicine,379,15.38,79.16,True,1,admitted,"C4, B2, B2, A1, C5"
Law,Law,383,23.77,87.64,True,1,admitted,"B2, B3, B3, B3, C4"
Agriculture,Agricultural Economics and Farm Management,187,1.03,38.8,True,2,not admitted,"A1, C5, C6, B3, C4"
Pharmaceutical Sciences,Pharmacy,356,23.2,81.7,True,1,admitted,"C5, C4, C6, C4, A1"
Education,Adult and Primary Education,178,1.51,38.56,True,1,not admitted,"A1, B2, C4, C5, C6"
Social Sciences,Geography,209,0.61,41.94,True,2,not admitted,"C5, C4, B3, B2, B3"
Veterinary Medicine,Veterinary Medicine,348,23.7,84.0,True,2,admitted,"B3, B2, A1, B3, C4"
Management Sciences,Accounting,251,21.69,66.66,True,1,admitted,"C4, C5, C6, B3, B3"
Arts,Yoruba,255,4.03,52.7,True,2,admitted,"A1, C4, B2, B2, C4"
Environmental Sciences,Quantity Surveying,253,20.49,68.11,True,1,admitted,"A1, B3, C6, C4, A1"
Communication and Information Sciences,Computer Science,174,29.87,68.42,True,1,not admitted,"B3, B2, A1, B2, C5"
Basic Medical Sciences,Anatomy,196,18.82,56.52,True,2,admitted,"C6, C6, B3, B3, C4"
Basic Medical Sciences,Biomedical Science,371,9.54,72.31,True,1,admitted,"A1, B3, C5, C4, A1"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,384,28.25,89.85,True,2,admitted,"C5, C5, C5, C5, A1"
Clinical Sciences,Nursing Science,203,7.5,49.27,True,1,not admitted,"B2, B2, C6, B2, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,153,23.28,57.61,True,2,not admitted,"B3, C5, A1, C4, C4"
Education,Educational Management,192,3.72,42.12,True,2,not admitted,"C6, B2, C6, A1, C4"
Physical Sciences,Geology,222,1.83,44.38,True,1,not admitted,"C6, B3, C4, A1, C4"
Clinical Sciences,Medicine and Surgery,316,7.84,60.94,True,1,admitted,"C6, B2, C5, C6, B2"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,340,19.27,75.77,True,1,admitted,"C6, C5, C4, B2, B3"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,247,1.81,46.28,True,2,not admitted,"C5, C6, A1, C6, B3"
Education,Counsellor Education,291,1.19,51.96,True,1,admitted,"C5, C4, C4, C4, B2"
Physical Sciences,Geology,183,10.06,44.94,True,2,not admitted,"C5, C6, C4, C6, C4"
Pharmaceutical Sciences,Pharmacy,325,23.28,78.7,True,1,admitted,"B3, C6, B3, C4, B2"
Physical Sciences,Chemistry,181,4.3,40.12,True,2,not admitted,"C5, A1, C6, C4, C6"
Physical Sciences,Geology,232,5.27,51.07,True,1,admitted,"A1, B3, B3, B3, B3"
Engineering and Technology,Electrical and Electronics Engineering,276,26.93,76.63,True,2,admitted,"C5, B2, C4, B3, B3"
Management Sciences,Finance,182,12.07,50.82,True,1,admitted,"B2, A1, A1, C5, C6"
Life Sciences,Microbiology,261,15.1,64.53,True,1,admitted,"C5, A1, C5, A1, A1"
Veterinary Medicine,Veterinary Medicine,326,4.61,60.16,True,2,admitted,"C6, A1, B3, B3, C5"
Clinical Sciences,Nursing Science,384,7.5,70.7,True,2,admitted,"A1, C4, B2, C5, C5"
Veterinary Medicine,Veterinary Medicine,389,15.73,77.16,True,2,admitted,"C5, C6, C4, C4, C4"
Law,Law,286,3.72,53.47,True,2,admitted,"C5, C6, A1, B2, C6"
Agriculture,Forest Resources Management,246,18.98,62.13,True,1,admitted,"C6, B3, C4, C6, C5"
Education,Science Education,360,12.34,72.54,True,2,admitted,"C5, A1, C5, B2, C4"
Life Sciences,Plant Biology,372,24.55,88.25,True,2,admitted,"A1, B3, A1, C4, B3"
Environmental Sciences,Surveying and Geo-informatics,211,19.75,61.33,True,2,admitted,"C6, C5, C4, A1, A1"
Communication and Information Sciences,Telecommunication Science,202,10.67,51.52,True,2,admitted,"C4, C5, A1, B2, C4"
Basic Medical Sciences,Biomedical Science,375,19.33,81.0,True,1,admitted,"C4, B2, C5, B3, C4"
Life Sciences,Zoology,372,20.09,78.19,True,2,admitted,"C5, C6, C6, B3, C6"
Life Sciences,Microbiology,207,9.57,49.44,True,2,not admitted,"C5, C6, A1, C6, B2"
Agriculture,Aquaculture and Fisheries,354,5.67,66.32,True,1,admitted,"A1, C5, A1, C6, A1"
Communication and Information Sciences,Computer Science,179,29.21,67.98,True,2,not admitted,"C5, B2, B2, B3, B2"
Agriculture,Animal Production,141,8.7,39.92,True,1,not admitted,"C6, C6, B3, C5, A1"
Management Sciences,Finance,203,3.83,44.41,True,2,not admitted,"A1, C5, B2, C6, B3"
Communication and Information Sciences,Information and Communication Science,178,14.13,52.38,True,1,not admitted,"B3, C4, B2, B2, C4"
Veterinary Medicine,Veterinary Medicine,284,8.03,57.93,True,2,admitted,"C4, C6, C5, A1, B3"
Communication and Information Sciences,Telecommunication Science,317,12.26,67.88,True,1,admitted,"A1, B2, C5, C5, B2"
Social Sciences,Geography,253,28.57,74.99,True,1,admitted,"B2, C6, C5, C4, A1"
Engineering and Technology,Water Resources & Environmental Engineering,201,17.16,57.48,True,2,admitted,"B2, C6, C6, B2, A1"
Arts,Linguistics and Nigerian Languages,256,11.34,58.14,True,1,admitted,"C4, C5, C5, A1, B3"
Engineering and Technology,Civil Engineering,175,26.92,62.39,True,1,not admitted,"C5, C5, B2, B3, C6"
Clinical Sciences,Nursing Science,341,1.99,61.81,True,1,admitted,"C5, C4, A1, A1, A1"
Social Sciences,Economics,208,22.36,63.96,True,1,admitted,"B2, B2, C4, C5, B3"
Communication and Information Sciences,Computer Science,164,21.13,57.23,True,2,not admitted,"B3, C4, B2, C5, B2"
Agriculture,Agronomy,307,12.94,64.91,True,2,admitted,"C6, C5, B3, B2, C5"
Basic Medical Sciences,Anatomy,384,23.16,85.96,True,2,admitted,"C4, C5, C4, B2, B3"
Veterinary Medicine,Veterinary Medicine,235,28.04,71.41,True,2,admitted,"B2, B3, C6, B3, C6"
Communication and Information Sciences,Library and Information Science,376,25.82,87.22,True,1,admitted,"B3, C6, B2, C6, B2"
Clinical Sciences,Nursing Science,364,11.94,75.84,True,2,admitted,"B3, B2, A1, A1, B2"
Pharmaceutical Sciences,Pharmacy,391,29.55,92.82,True,1,admitted,"B2, A1, C5, C5, C6"
Clinical Sciences,Nursing Science,323,8.42,64.0,True,1,admitted,"A1, B3, C4, C5, C4"
Law,Law,267,4.41,52.18,True,2,admitted,"C4, A1, B3, C5, C6"
Education,Social Sciences Education,168,11.81,44.41,True,1,not admitted,"C6, B3, C6, C6, C5"
Arts,History and International Studies,177,11.4,47.52,True,2,not admitted,"B3, C5, C4, C6, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,349,22.99,80.61,True,1,admitted,"C6, A1, B2, C6, C5"
Management Sciences,Public Administration,240,4.43,49.63,True,2,not admitted,"C4, C4, C4, C4, A1"
Pharmaceutical Sciences,Pharmacy,288,6.86,58.86,True,1,admitted,"B3, C5, A1, C4, B2"
Agriculture,Crop Protection,391,2.27,63.95,True,1,admitted,"B3, C6, B3, C5, C6"
Social Sciences,Psychology,249,13.79,56.92,True,2,admitted,"C6, C5, C5, C6, B3"
Physical Sciences,Mathematics,212,9.0,48.7,True,2,not admitted,"B3, C6, B3, C6, C4"
Pharmaceutical Sciences,Pharmacy,375,25.57,86.44,True,1,admitted,"C6, B3, B2, C4, C5"
Law,Law,223,0.23,42.11,True,1,not admitted,"C5, B2, C6, C4, B3"
Veterinary Medicine,Veterinary Medicine,312,24.71,79.71,True,2,admitted,"B2, C5, A1, C4, B3"
Agriculture,Agricultural Economics and Farm Management,197,19.85,58.48,True,2,admitted,"B3, C4, C6, B2, C5"
Basic Medical Sciences,Physiology,241,19.34,66.27,True,2,admitted,"A1, B2, B2, B2, C6"
Veterinary Medicine,Veterinary Medicine,245,27.38,73.61,True,2,admitted,"C4, A1, C6, A1, C4"
Social Sciences,Social Work,400,26.06,92.46,True,1,admitted,"A1, B3, A1, C6, B3"
Clinical Sciences,Nursing Science,179,0.77,40.34,True,1,not admitted,"C4, C4, B2, A1, A1"
Management Sciences,Finance,167,15.5,53.17,True,1,not admitted,"B3, B2, C4, B2, B2"
Physical Sciences,Geology,358,29.26,89.61,True,2,admitted,"B2, A1, C6, C4, B3"
Education,Human Kinetics Education,248,4.78,50.18,True,1,admitted,"C4, A1, C6, B2, C6"
Education,Social Sciences Education,234,26.06,68.51,True,1,admitted,"B2, B3, C6, C6, C5"
Veterinary Medicine,Veterinary Medicine,307,9.08,65.45,True,1,admitted,"B3, B2, B2, B2, A1"
Veterinary Medicine,Veterinary Medicine,397,11.67,76.09,True,2,admitted,"C4, C5, B2, A1, C6"
Life Sciences,Plant Biology,143,27.62,59.9,True,1,not admitted,"B3, B2, C4, C6, C4"
Education,Science Education,154,26.41,60.86,True,2,not admitted,"C6, C6, B2, B2, A1"
Law,Law,393,3.89,65.81,True,2,admitted,"C6, C4, C5, B3, C5"
Communication and Information Sciences,Library and Information Science,339,13.88,72.25,True,1,admitted,"A1, C5, B3, C5, A1"
Veterinary Medicine,Veterinary Medicine,307,20.76,72.73,True,2,admitted,"B2, C6, A1, C6, C6"
Law,Law,193,16.26,55.59,True,2,admitted,"A1, C5, C6, B3, B2"
Life Sciences,Microbiology,344,6.91,66.31,True,2,admitted,"B2, C5, A1, A1, C5"
Agriculture,Agricultural Economics and Farm Management,150,1.67,35.62,True,1,not admitted,"B3, B2, B3, B3, C6"
Communication and Information Sciences,Information and Communication Science,285,23.4,72.62,True,2,admitted,"C6, C4, C5, C4, B2"
Law,Law,260,5.53,52.03,True,2,admitted,"C5, C5, A1, B3, C6"
Clinical Sciences,Medicine and Surgery,182,4.79,44.34,True,1,not admitted,"B2, B2, C4, A1, C4"
Management Sciences,Business Administration,269,14.77,64.79,True,1,admitted,"B3, C6, A1, B2, B2"
Environmental Sciences,Quantity Surveying,226,3.14,46.59,True,1,not admitted,"B2, B3, C4, C6, B2"
Arts,History and International Studies,215,13.4,57.47,True,2,admitted,"A1, B2, C4, A1, C4"
Education,Science Education,229,1.67,43.89,True,1,not admitted,"C5, C5, B3, C4, C4"
Environmental Sciences,Surveying and Geo-informatics,165,4.1,41.12,True,1,not admitted,"C5, B3, A1, B2, B3"
Arts,History and International Studies,255,21.65,66.32,True,1,admitted,"B3, C4, C6, C6, C4"
Social Sciences,Geography,388,2.74,66.04,True,1,admitted,"C4, C5, C4, A1, C4"
Engineering and Technology,Chemical Engineering,152,8.6,40.8,True,2,not admitted,"C6, B3, B3, C6, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,383,27.83,90.1,True,2,admitted,"C4, C6, B2, A1, C6"
Law,Law,347,8.77,66.54,True,1,admitted,"B3, C4, C5, B2, C5"
Engineering and Technology,Computer Engineering,321,7.64,62.56,True,2,admitted,"C5, C4, C5, A1, B3"
Life Sciences,Plant Biology,267,15.69,63.86,True,2,admitted,"B3, C6, B3, B2, C4"
Clinical Sciences,Medicine and Surgery,169,3.77,38.89,True,2,not admitted,"A1, C5, C5, C5, C4"
Education,Social Sciences Education,293,27.91,79.33,True,1,admitted,"C4, A1, C6, B3, C4"
Environmental Sciences,Urban and Regional Planning,282,25.26,76.11,True,2,admitted,"B2, C4, B3, C4, B3"
Life Sciences,Biochemistry,320,17.8,72.2,True,1,admitted,"C4, B3, C5, A1, C6"
Clinical Sciences,Medicine and Surgery,365,27.1,87.12,True,1,admitted,"B3, B3, C5, B3, C5"
Environmental Sciences,Urban and Regional Planning,156,17.27,52.37,True,2,not admitted,"C4, B3, C4, B2, B3"
Clinical Sciences,Medicine and Surgery,283,10.4,60.17,True,1,admitted,"B3, C5, B2, C4, C5"
Engineering and Technology,Biomedical Engineering,234,16.99,60.64,True,1,admitted,"C5, C6, A1, C6, A1"
Communication and Information Sciences,Computer Science,159,15.48,50.96,True,1,not admitted,"C4, C6, A1, A1, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,355,25.88,84.66,True,2,admitted,"B3, C6, C5, B3, B2"
Environmental Sciences,Surveying and Geo-informatics,178,7.97,48.22,True,2,not admitted,"A1, B2, A1, B3, B3"
Physical Sciences,Chemistry,202,6.42,45.27,True,1,not admitted,"C6, B3, C6, C4, B2"
Education,Counsellor Education,322,19.35,74.0,True,1,admitted,"C6, C4, A1, B2, C6"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,349,15.1,73.53,True,2,admitted,"C4, B2, B2, C6, C4"
Basic Medical Sciences,Biomedical Science,374,19.77,82.12,True,2,admitted,"A1, C6, B3, C5, A1"
Communication and Information Sciences,Information and Communication Science,208,28.49,72.49,True,1,admitted,"A1, A1, C4, A1, B3"
Social Sciences,Psychology,400,6.22,70.22,True,2,admitted,"C6, C4, C5, B3, B2"
Communication and Information Sciences,Library and Information Science,156,18.31,52.21,True,2,not admitted,"B3, C4, C5, B2, C5"
Law,Law,363,21.14,80.52,True,1,admitted,"C6, A1, C5, C6, B2"
Engineering and Technology,Electrical and Electronics Engineering,162,14.25,51.3,True,1,not admitted,"A1, C5, B2, B3, B2"
Law,Law,169,27.99,62.71,True,2,not admitted,"C5, C5, B3, C5, B3"
Basic Medical Sciences,Biomedical Science,149,20.85,53.48,True,1,not admitted,"C4, C6, B3, C4, B3"
Social Sciences,Social Work,194,18.52,59.57,True,2,admitted,"A1, A1, C5, C4, B2"
Social Sciences,Economics,400,11.46,75.46,True,2,admitted,"C6, B2, B3, C4, C5"
Life Sciences,Zoology,296,17.32,67.12,True,1,admitted,"B2, C5, C6, C6, C4"
Environmental Sciences,Architecture,247,3.53,50.01,True,2,admitted,"C5, C6, A1, B3, A1"
Arts,French,251,12.29,58.46,True,2,admitted,"C5, B2, B2, C6, B3"
Basic Medical Sciences,Anatomy,176,11.36,48.96,True,2,not admitted,"C4, A1, B2, C5, C4"
Management Sciences,Industrial Relations and Personnel Management,364,19.96,77.86,True,2,admitted,"C4, C4, C6, C6, C4"
Agriculture,Crop Protection,140,13.08,46.18,True,2,not admitted,"A1, B3, C5, A1, C6"
Life Sciences,Microbiology,320,25.62,80.02,True,1,admitted,"B3, A1, C5, C6, C4"
Social Sciences,Economics,272,28.65,78.65,True,2,admitted,"B3, A1, B2, C4, C5"
Agriculture,Agricultural Economics and Farm Management,174,16.23,52.38,True,2,not admitted,"C5, A1, C4, B3, C6"
Social Sciences,Economics,143,5.24,38.31,True,1,not admitted,"C4, C5, B2, C5, A1"
Physical Sciences,Geology,294,12.59,62.94,True,2,admitted,"C5, C5, B3, C6, B2"
Education,Educational Technology,385,13.01,76.33,True,1,admitted,"B3, B2, C6, B3, B3"
Law,Law,215,7.64,49.31,True,2,not admitted,"C4, C5, C4, B2, B3"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,392,5.94,71.74,True,2,admitted,"A1, C5, B3, A1, B3"
Agriculture,Home Economics and Food Science,355,22.81,81.19,True,1,admitted,"C6, B2, B3, B3, C6"
Physical Sciences,Geophysics,230,29.47,73.02,True,1,admitted,"C6, B2, C6, B2, B2"
Environmental Sciences,Estate Management,155,16.44,51.41,True,1,not admitted,"C4, A1, C5, B3, B3"
Life Sciences,Biochemistry,364,1.85,62.15,True,2,admitted,"B2, B3, C5, C4, C4"
Social Sciences,Psychology,344,15.62,71.82,True,2,admitted,"C6, C4, C6, C5, A1"
Clinical Sciences,Medicine and Surgery,144,22.89,56.09,True,1,not admitted,"B2, C5, B2, C6, B2"
Basic Medical Sciences,Anatomy,281,8.11,56.03,True,2,admitted,"C5, C6, C5, C4, B3"
Basic Medical Sciences,Physiology,230,16.15,58.9,True,2,admitted,"B3, C6, C4, B2, C5"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,164,22.37,58.07,True,2,not admitted,"B3, B2, A1, C6, C5"
Arts,Religions (Christian/Islamic/Comparative),358,1.35,62.1,True,2,admitted,"A1, B3, C5, C4, B2"
Agriculture,Agricultural Extension and Rural Development,267,4.19,51.96,True,1,admitted,"C5, C4, A1, B3, C6"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,339,26.54,86.11,True,1,admitted,"A1, B3, C4, B2, B2"
Environmental Sciences,Quantity Surveying,264,20.6,69.6,True,2,admitted,"A1, C4, C6, B2, B2"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,174,15.93,50.08,True,2,not admitted,"C6, B3, C6, B3, C6"
Physical Sciences,Chemistry,231,5.29,47.36,True,1,not admitted,"B3, C6, B3, C4, C6"
Pharmaceutical Sciences,Pharmacy,356,0.38,61.28,True,2,admitted,"A1, B3, B3, B2, C5"
Veterinary Medicine,Veterinary Medicine,230,22.3,66.25,True,1,admitted,"C5, B3, C4, B2, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,374,8.77,72.32,True,1,admitted,"B2, A1, B2, C6, B2"
Clinical Sciences,Nursing Science,343,8.63,69.11,True,1,admitted,"B3, B3, A1, A1, B3"
Physical Sciences,Statistics,362,23.27,83.72,True,2,admitted,"A1, C4, C6, B2, C4"
Veterinary Medicine,Veterinary Medicine,298,4.08,54.93,True,1,admitted,"C5, C6, C5, B3, B2"
Pharmaceutical Sciences,Pharmacy,309,22.77,77.79,True,2,admitted,"B2, B3, B2, B2, C5"
Clinical Sciences,Nursing Science,303,18.3,71.38,True,2,admitted,"C5, B3, B2, B3, C4"
Physical Sciences,Industrial Chemistry,310,7.04,59.39,True,1,admitted,"C4, C6, C5, C4, B2"
Veterinary Medicine,Veterinary Medicine,347,26.46,85.84,True,2,admitted,"C4, B3, B2, C4, B2"
Clinical Sciences,Nursing Science,327,14.38,69.25,True,1,admitted,"A1, C6, A1, C6, C6"
Arts,Arabic,278,24.72,76.27,True,2,admitted,"C5, B2, A1, B3, B2"
Physical Sciences,Statistics,206,10.15,51.5,True,1,admitted,"C4, A1, C6, A1, C4"
Law,Law,265,27.0,78.92,True,1,admitted,"A1, A1, A1, B2, B3"
Pharmaceutical Sciences,Pharmacy,229,17.08,59.3,True,2,admitted,"C6, B2, C6, C5, B2"
Education,Educational Management,285,10.32,60.75,True,1,admitted,"B3, B3, C4, C5, B3"
Education,Social Sciences Education,163,25.02,58.19,True,1,not admitted,"C4, C5, B2, C6, C6"
Social Sciences,Social Work,371,23.37,86.55,True,2,admitted,"B2, A1, B3, C4, B3"
Education,Social Sciences Education,250,28.03,77.68,True,1,admitted,"A1, A1, B2, A1, C4"
Basic Medical Sciences,Physiology,225,5.09,48.02,True,1,not admitted,"B3, B2, C5, C4, C4"
Pharmaceutical Sciences,Pharmacy,176,21.32,55.32,True,1,not admitted,"B3, C5, C6, C5, C6"
Clinical Sciences,Medicine and Surgery,327,9.28,66.16,True,1,admitted,"C5, C4, A1, B2, B3"
Physical Sciences,Mathematics,357,16.45,76.28,True,1,admitted,"C5, B3, A1, C6, B2"
Pharmaceutical Sciences,Pharmacy,339,11.42,67.8,True,1,admitted,"C6, C6, B2, C5, A1"
Environmental Sciences,Urban and Regional Planning,376,18.17,80.37,True,2,admitted,"C5, A1, B2, C4, C5"
Physical Sciences,Statistics,236,1.55,46.65,True,1,not admitted,"C4, B3, A1, B3, C5"
Communication and Information Sciences,Information and Communication Science,237,21.46,65.48,True,2,admitted,"B3, B2, B3, C5, C6"
Management Sciences,Industrial Relations and Personnel Management,391,12.01,76.08,True,2,admitted,"A1, C6, A1, C5, C4"
Communication and Information Sciences,Library and Information Science,389,4.65,68.88,True,2,admitted,"A1, C5, B2, C6, B2"
Veterinary Medicine,Veterinary Medicine,303,11.57,65.84,True,1,admitted,"B2, C5, C4, B2, A1"
Environmental Sciences,Urban and Regional Planning,354,11.88,71.73,True,2,admitted,"C4, B3, A1, B2, C6"
