Faculty,Department,UTME_Score,Olevel_Grades,Post_UTME_Score,Aggregate,Cutoff,Admission_Status
Pharmacy,Pharmacy,280,"C4, A1, C6, C4, C6",15,63.6,76.125,considered
Management Sciences,Finance,272,"B3, C4, B2, C6, A1",13,62.6,68.9,considered
Management Sciences,Insurance,206,"C6, B2, C5, C4, C5",30,68.95,67.125,admitted
Management Sciences,Accounting,345,"C6, C5, A1, B3, B3",30,87.92,74.1,admitted
Pharmacy,Pharmacy,201,"B2, B2, C5, B3, B2",25,66.53,76.125,considered
Clinical Sciences,Nursing,220,"A1, C5, C5, C4, A1",27,70.1,70.875,considered
Arts,Russian,271,"A1, C5, B2, C4, A1",11,61.67,67.65,not admitted
Environmental Sciences,Estate Management,276,"A1, C4, B2, B2, C5",15,65.9,50.0,admitted
Basic Medical Sciences,Pharmacology,355,"C4, C4, C6, A1, C4",1,59.77,72.625,not admitted
Management Sciences,Finance,345,"C6, B3, C5, B2, C6",5,61.33,68.9,not admitted
Arts,Creative Arts,266,"C4, C4, C5, C4, C6",6,52.05,67.05,not admitted
Arts,Christian Religious Studies,280,"B3, C6, A1, C5, B3",5,54.8,61.625,not admitted
Education,Education Chemistry,302,"A1, B3, B3, C5, A1",28,82.55,50.0,admitted
Clinical Sciences,Medicine and Surgery,246,"B2, B3, B3, B3, C4",3,49.75,80.8,not admitted
Education,Education English,337,"B2, B2, C6, B2, B3",5,63.12,50.0,not admitted
Basic Medical Sciences,Physiology,213,"C4, C4, C6, C6, B3",0,39.42,71.55,not admitted
Arts,Islamic Religious Studies,323,"A1, B3, C6, C4, C6",0,54.38,60.225,not admitted
Law,Law,389,"B2, C5, A1, C4, A1",7,72.42,68.65,not admitted
Law,Law,247,"C5, B2, C5, B3, B3",0,45.67,68.65,not admitted
Management Sciences,Business Administration,210,"A1, B2, B2, A1, A1",30,75.45,68.65,admitted
Social Sciences,Mass Communication,357,"C6, C6, C5, B3, C4",27,84.03,72.35,admitted
Engineering,Systems Engineering,342,"B3, C4, C6, C5, C4",22,77.95,50.0,admitted
Management Sciences,Actuarial Science,296,"C4, C4, B2, C6, B2",15,66.8,61.875,admitted
Pharmacy,Pharmacy,331,"B2, B2, B3, C4, C6",1,57.58,76.125,not admitted
Social Sciences,Geography,316,"A1, A1, B3, C5, B2",6,62.7,50.0,not admitted
Education,Integrated Science Education,281,"A1, C4, B2, C4, B3",3,54.52,50.0,not admitted
Management Sciences,Insurance,361,"A1, C5, B2, C4, A1",30,91.92,67.125,admitted
Pharmacy,Pharmacy,203,"C4, C4, C5, A1, B3",11,51.58,76.125,not admitted
Social Sciences,Sociology,243,"B3, A1, C6, A1, B3",28,74.78,66.15,admitted
Environmental Sciences,Architecture,343,"C6, C5, C4, C5, B2",25,81.08,50.0,admitted
Engineering,Biomedical Engineering,278,"B2, B3, C4, C6, C4",28,77.15,50.0,admitted
Law,Law,326,"C6, C4, C4, C6, C6",3,55.35,68.65,not admitted
Dental Sciences,Dentistry,217,"B3, C6, A1, B2, A1",8,51.92,77.4,not admitted
Pharmacy,Pharmacy,277,"C4, B3, C6, A1, B2",20,70.22,76.125,considered
Environmental Sciences,Estate Management,343,"C6, B2, A1, C5, B2",16,74.47,50.0,admitted
Environmental Sciences,Estate Management,389,"C6, A1, B2, A1, C5",25,89.62,50.0,admitted
Education,Education Chemistry,250,"A1, C5, C6, A1, C5",19,65.05,50.0,admitted
Law,Law,213,"A1, B2, C5, B3, C4",11,53.62,68.65,not admitted
Law,Law,276,"C6, A1, A1, B3, C6",25,74.7,68.65,admitted
Education,Education Geography,387,"C5, B2, B2, C4, A1",18,82.78,50.0,admitted
Management Sciences,Actuarial Science,318,"C5, A1, C4, B2, B3",2,57.75,61.875,not admitted
Dental Sciences,Dentistry,315,"C5, C4, B3, C4, A1",29,83.58,77.4,admitted
Engineering,Electrical & Electronics Engineering,370,"C4, C6, C5, B2, C5",0,59.45,50.0,not admitted
Engineering,Surveying & Geoinformatics Engineering,201,"C4, C5, C4, C4, C5",10,48.33,50.0,not admitted
Basic Medical Sciences,Pharmacology,317,"C5, B2, B2, B2, C6",15,69.83,72.625,considered
Law,Law,224,"C5, B3, B3, C4, C6",0,41.6,68.65,not admitted
Law,Law,264,"C4, C6, A1, B3, C5",10,57.4,68.65,not admitted
Engineering,Electrical & Electronics Engineering,341,"C5, C6, B2, A1, B2",8,66.22,50.0,not admitted
Basic Medical Sciences,Pharmacology,273,"C6, A1, C5, B3, B3",4,52.92,72.625,not admitted
Education,Education Igbo,203,"C5, C5, B2, C6, B2",21,60.38,50.0,admitted
Environmental Sciences,Urban & Regional Planning,245,"B2, C5, B3, C6, B2",11,56.42,50.0,not admitted
Social Sciences,Geography,350,"C6, C4, C4, C5, C5",3,59.15,50.0,not admitted
Law,Law,327,"B2, C5, C5, C6, B2",23,77.88,68.65,admitted
Basic Medical Sciences,Medical Laboratory Science,288,"A1, B3, C5, C6, C5",15,65.0,74.675,considered
Environmental Sciences,Architecture,223,"A1, B2, C6, C6, C6",23,64.47,50.0,admitted
Environmental Sciences,Building,234,"B3, B3, B2, C6, C6",20,63.25,50.0,admitted
Arts,Linguistic Igbo/Yoruba,205,"B2, B3, A1, A1, C6",7,49.42,61.175,not admitted
Dental Sciences,Dentistry,221,"B2, B2, B3, C6, C4",12,54.83,77.4,considered
Dental Sciences,Dentistry,337,"C5, B2, C4, B3, A1",9,67.12,77.4,not admitted
Science,Marine Biology,265,"C5, B2, B2, A1, B2",13,63.33,50.0,admitted
Law,Law,378,"B2, C5, A1, B3, B3",23,86.65,68.65,admitted
Basic Medical Sciences,Physiology,211,"C6, B3, B3, C4, C4",10,50.38,71.55,not admitted
Basic Medical Sciences,Medical Laboratory Science,294,"B2, A1, C4, C5, C6",25,76.55,74.675,admitted
Engineering,Computer Engineering,346,"C6, C6, C6, B3, C6",3,57.45,50.0,not admitted
Environmental Sciences,Estate Management,274,"C5, B2, C4, A1, A1",19,70.05,50.0,admitted
Arts,English,210,"C4, C6, A1, C4, A1",20,61.85,68.175,considered
Clinical Sciences,Nursing,213,"C5, C6, C4, B3, C6",11,50.02,70.875,not admitted
Arts,Chinese,338,"C5, C4, B2, C4, A1",16,73.85,66.7,admitted
Science,Statistics,210,"C4, C6, B2, C5, B2",2,42.65,50.0,not admitted
Dental Sciences,Dentistry,324,"B3, C6, C5, A1, A1",27,83.1,77.4,admitted
Environmental Sciences,Estate Management,240,"B2, C4, C5, C5, C6",21,64.2,50.0,admitted
Engineering,Metallurgical & Material Engineering,323,"A1, C4, B3, C5, C6",18,72.78,50.0,admitted
Pharmacy,Pharmacy,349,"B3, B3, C5, B3, B2",11,70.22,76.125,not admitted
Education,Business Education,205,"C4, B3, B3, B2, C5",28,68.83,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,239,"C4, C6, B3, A1, C4",18,62.67,74.675,considered
Management Sciences,Business Administration,315,"B2, C5, B2, C4, A1",7,62.77,68.65,not admitted
Law,Law,330,"B2, C5, C4, A1, C5",20,76.45,68.65,admitted
Science,Statistics,238,"C5, C6, B3, B3, B2",1,45.15,50.0,not admitted
Pharmacy,Pharmacy,372,"B2, A1, A1, A1, B2",3,68.7,76.125,not admitted
Basic Medical Sciences,Medical Laboratory Science,221,"C4, A1, B3, B3, B3",28,72.03,74.675,considered
Pharmacy,Pharmacy,202,"C4, C4, C6, A1, C6",8,46.85,76.125,not admitted
Law,Law,219,"C4, B2, A1, C5, B3",5,48.38,68.65,not admitted
Science,Geology,230,"B3, B3, C4, C5, A1",9,53.35,50.0,not admitted
Dental Sciences,Dentistry,295,"C6, A1, A1, C6, B2",29,81.47,77.4,admitted
Science,Botany,269,"C6, C4, C4, A1, B3",19,67.42,50.0,admitted
Management Sciences,IRPM,340,"B3, C4, C6, B3, B3",12,68.9,50.0,admitted
Dental Sciences,Dentistry,352,"A1, C5, C4, C4, A1",6,66.0,77.4,not admitted
Environmental Sciences,Building,303,"A1, C4, C5, B2, C4",4,57.48,50.0,not admitted
Arts,Russian,278,"C5, B2, C4, B3, C6",25,73.75,67.65,admitted
Basic Medical Sciences,Medical Laboratory Science,259,"B2, B3, C6, B3, C4",21,68.17,74.675,considered
Engineering,Chemical & Petroleum Engineering,364,"B3, C5, B2, B3, C4",25,85.7,50.0,admitted
Engineering,Chemical & Petroleum Engineering,373,"B2, C5, B3, C6, B3",2,63.02,50.0,not admitted
Dental Sciences,Dentistry,261,"A1, B3, C4, C4, C5",8,55.83,77.4,not admitted
Engineering,Biomedical Engineering,291,"C6, B2, B2, B2, A1",18,71.17,50.0,admitted
Social Sciences,Psychology,334,"C5, B3, A1, C4, B3",23,80.35,67.4,admitted
Education,Human Kinetics Education,286,"C6, A1, B2, B3, A1",8,60.55,50.0,not admitted
Law,Law,365,"C6, C5, A1, C5, C4",2,61.23,68.65,not admitted
Dental Sciences,Dentistry,347,"C5, B2, A1, C5, B2",28,87.38,77.4,admitted
Education,Human Kinetics Education,287,"C5, A1, C6, C4, C5",3,52.48,50.0,not admitted
Social Sciences,Psychology,321,"C4, C4, A1, C6, C6",9,62.73,67.4,not admitted
Environmental Sciences,Estate Management,308,"C5, C5, B2, C4, B3",23,75.9,50.0,admitted
Science,Industrial Mathematics,378,"C4, B3, C4, C6, A1",3,65.05,50.0,not admitted
Arts,Philosophy,353,"C6, A1, C4, B2, A1",29,89.53,67.4,admitted
Engineering,Civil & Environmental Engineering,283,"C4, B3, C6, B2, C6",15,63.98,50.0,admitted
Dental Sciences,Dentistry,217,"B3, A1, C4, C5, B3",14,56.73,77.4,considered
Dental Sciences,Dentistry,203,"C5, B3, C5, C4, B2",2,41.77,77.4,not admitted
Science,Cell Biology & Genetics,393,"C5, C5, C6, C6, C5",28,88.33,50.0,admitted
Arts,English,205,"A1, C6, C6, C6, A1",28,67.62,68.175,considered
Science,Geophysics,237,"A1, C4, C6, B2, B3",6,51.23,50.0,not admitted
Law,Law,361,"C4, B3, C4, A1, C6",21,80.92,68.65,admitted
Basic Medical Sciences,Physiology,238,"A1, B2, B2, C5, B3",14,60.55,71.55,considered
Arts,Linguistic Igbo/Yoruba,322,"B2, A1, A1, C6, C5",16,72.25,61.175,admitted
Education,Business Education,262,"C5, C4, B3, A1, A1",13,62.15,50.0,admitted
Basic Medical Sciences,Pharmacology,297,"B2, C4, A1, C6, C5",14,65.92,72.625,considered
Law,Law,295,"A1, C4, B3, B2, C5",17,69.88,68.65,admitted
Science,Zoology,260,"A1, C5, A1, C5, B2",15,63.9,50.0,admitted
Law,Law,262,"A1, C4, A1, C4, C5",16,64.75,68.65,considered
Science,Geology,216,"C6, A1, A1, C5, C6",18,59.4,50.0,admitted
Management Sciences,Business Administration,383,"B3, B3, C4, B2, C6",29,91.67,68.65,admitted
Law,Law,322,"C4, B2, C4, C6, C4",24,78.25,68.65,admitted
Education,Education Igbo,200,"C5, C6, A1, C4, A1",17,57.2,50.0,admitted
Law,Law,335,"C6, B2, C6, B2, C5",12,67.47,68.65,considered
Engineering,Computer Engineering,232,"C6, A1, B2, C4, C6",6,49.4,50.0,not admitted
Social Sciences,Sociology,232,"B2, C4, C5, C5, B2",9,52.8,66.15,not admitted
Environmental Sciences,Architecture,271,"C4, C6, B3, B3, B2",13,61.67,50.0,admitted
Law,Law,376,"C5, B3, C4, C5, C4",12,72.6,68.65,admitted
Pharmacy,Pharmacy,220,"B2, A1, C4, C5, B3",20,63.5,76.125,considered
Education,Educational Foundations,200,"C5, C6, C6, A1, A1",19,58.4,50.0,admitted
Dental Sciences,Dentistry,202,"C6, B3, C4, C5, C6",24,61.65,77.4,considered
Dental Sciences,Dentistry,295,"C5, C4, C5, B3, C6",18,67.67,77.4,considered
Education,Integrated Science Education,400,"C5, A1, B3, C5, C4",28,92.8,50.0,admitted
Basic Medical Sciences,Physiology,210,"C6, B3, C5, C5, A1",30,70.25,71.55,considered
Clinical Sciences,Physiotherapy,272,"B2, B2, B2, A1, C5",14,65.2,73.75,considered
Social Sciences,Social Work,390,"C5, C6, B3, B2, B3",14,77.15,50.0,admitted
Education,Education Physics,316,"C4, C6, C5, C6, C4",27,78.5,50.0,admitted
Dental Sciences,Dentistry,281,"C6, A1, C6, C5, C4",29,77.33,77.4,considered
Pharmacy,Pharmacy,334,"C5, B3, C6, C5, B3",11,65.95,76.125,not admitted
Science,Statistics,380,"C4, B2, C6, B2, C6",30,91.5,50.0,admitted
Management Sciences,Accounting,293,"B3, B2, B3, B2, B2",28,81.83,74.1,admitted
Environmental Sciences,Building,245,"C6, B3, B2, C5, C4",24,68.62,50.0,admitted
Science,Cell Biology & Genetics,325,"C6, C6, B3, B2, C4",11,65.22,50.0,not admitted
Education,Educational Foundations,262,"C4, B3, C5, B3, C5",29,75.75,50.0,admitted
Education,Education Igbo,329,"C5, B2, A1, B2, C5",4,61.12,50.0,not admitted
Science,Physics,315,"C5, B2, B2, C6, B3",26,80.17,50.0,admitted
Basic Medical Sciences,Pharmacology,364,"C4, B2, C5, C6, A1",5,65.3,72.625,not admitted
Science,Physics,330,"C6, A1, C4, B2, B2",13,70.25,50.0,admitted
Management Sciences,Finance,249,"B3, C6, C4, C6, B2",1,45.73,68.9,not admitted
Social Sciences,Geography,232,"C6, C4, C5, C6, C6",26,66.2,50.0,admitted
Education,Education Christian Religious Studies,313,"B3, C6, C4, B2, A1",11,65.72,50.0,not admitted
Law,Law,311,"B3, C5, C6, C6, C6",19,69.47,68.65,admitted
Environmental Sciences,Building,203,"C6, B3, C4, A1, C5",21,60.77,50.0,admitted
Arts,Creative Arts,385,"C6, B3, A1, B3, C5",19,81.92,67.05,admitted
Management Sciences,Business Administration,262,"C6, B2, C6, B3, C5",13,58.95,68.65,considered
Science,Statistics,347,"B3, B2, B2, B3, C6",15,73.97,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,370,"C6, B2, B3, C5, C6",29,88.45,74.675,admitted
Dental Sciences,Dentistry,315,"B3, B3, B2, B3, B2",8,64.17,77.4,not admitted
Environmental Sciences,Building,337,"B2, C4, B3, B3, B3",4,62.12,50.0,not admitted
Science,Marine Biology,387,"B3, C5, B2, B3, C6",6,68.78,50.0,not admitted
Science,Statistics,374,"C4, B2, B2, C5, B3",23,85.35,50.0,admitted
Environmental Sciences,Estate Management,221,"B2, C4, A1, C5, B2",0,44.02,50.0,not admitted
Pharmacy,Pharmacy,274,"C6, A1, C4, C6, C5",0,47.45,76.125,not admitted
Engineering,Electrical & Electronics Engineering,333,"B3, B3, C4, C6, A1",10,66.83,50.0,not admitted
Law,Law,213,"A1, B3, C6, C5, C6",17,57.23,68.65,considered
Science,Zoology,388,"B2, A1, A1, C6, B3",10,75.3,50.0,not admitted
Clinical Sciences,Medicine and Surgery,297,"C6, C5, C4, B3, B2",17,68.12,80.8,considered
Engineering,Chemical & Petroleum Engineering,398,"C5, B2, A1, A1, B3",5,71.95,50.0,not admitted
Science,Physics,200,"B2, C6, C4, B3, A1",8,48.6,50.0,not admitted
Environmental Sciences,Estate Management,395,"B2, A1, A1, C6, C5",5,70.38,50.0,not admitted
Education,Early Childhood Education,234,"C4, B3, B3, B2, C6",2,46.05,50.0,not admitted
Basic Medical Sciences,Pharmacology,206,"C6, B2, C4, A1, A1",10,52.15,72.625,not admitted
Education,Education Igbo,324,"A1, A1, A1, B2, C6",8,66.1,50.0,not admitted
Management Sciences,Finance,290,"C6, C5, B2, C6, B2",3,52.85,68.9,not admitted
Engineering,Systems Engineering,348,"B2, B3, C6, B2, B2",29,88.5,50.0,admitted
Pharmacy,Pharmacy,298,"B2, B2, C5, C6, B3",16,68.05,76.125,considered
Engineering,Computer Engineering,314,"C4, C5, C4, C4, B2",16,69.65,50.0,admitted
Social Sciences,Geography,235,"C5, C5, C6, C5, B3",24,65.78,50.0,admitted
Basic Medical Sciences,Physiology,223,"C4, A1, A1, A1, B2",10,56.27,71.55,not admitted
Engineering,Mechanical Engineering,296,"C4, C6, A1, B3, C4",8,59.8,50.0,not admitted
Dental Sciences,Dentistry,327,"B2, C6, B3, C4, C4",11,66.28,77.4,not admitted
Social Sciences,Political Science,330,"B3, B3, B2, C5, B3",5,61.85,68.6,not admitted
Science,Cell Biology & Genetics,369,"C5, C5, B2, C6, C5",9,67.92,50.0,not admitted
Social Sciences,Mass Communication,202,"C6, B2, B2, C5, C6",18,56.85,72.35,considered
Law,Law,395,"C4, C4, A1, C6, C6",16,78.97,68.65,admitted
Social Sciences,Social Work,362,"C6, A1, A1, B2, C4",17,78.65,50.0,admitted
Arts,English,353,"B3, C5, B3, C5, C5",10,67.72,68.175,not admitted
Social Sciences,Mass Communication,288,"A1, A1, A1, B2, A1",21,76.6,72.35,admitted
Arts,French,294,"C6, C5, C4, C4, A1",24,74.75,66.55,admitted
Environmental Sciences,Architecture,226,"A1, B3, A1, B3, C5",17,62.05,50.0,admitted
Education,Education Igbo,201,"C4, C4, C5, C4, A1",7,46.92,50.0,not admitted
Management Sciences,Business Administration,377,"C4, C6, C4, C6, B2",10,70.33,68.65,not admitted
Law,Law,318,"C5, A1, C5, C5, B3",18,72.15,68.65,admitted
Pharmacy,Pharmacy,261,"B3, C6, B2, A1, C6",11,58.42,76.125,not admitted
Engineering,Computer Engineering,318,"B2, B2, B3, C4, B2",29,85.55,50.0,admitted
Environmental Sciences,Quantity Surveying,342,"C5, C4, B3, C4, C6",11,66.95,50.0,not admitted
Environmental Sciences,Estate Management,213,"C5, C6, A1, A1, B3",3,45.23,50.0,not admitted
Clinical Sciences,Physiotherapy,340,"C4, C6, C4, C4, C4",23,78.7,73.75,admitted
Arts,Christian Religious Studies,355,"B3, B3, C6, A1, B2",6,66.38,61.625,not admitted
Clinical Sciences,Nursing,240,"C6, A1, C4, C5, B2",19,63.8,70.875,considered
Environmental Sciences,Quantity Surveying,239,"C6, C6, C4, C4, B2",16,59.08,50.0,admitted
Pharmacy,Pharmacy,353,"B2, B3, B2, B3, C4",28,88.53,76.125,admitted
Science,Cell Biology & Genetics,287,"C4, A1, C6, B3, C5",18,68.28,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,264,"B2, B2, C5, C4, C5",17,64.8,74.675,considered
Science,Physics,211,"C4, C6, C4, C6, B3",13,52.17,50.0,admitted
Management Sciences,Finance,357,"A1, C4, B3, C6, C5",4,63.02,68.9,not admitted
Environmental Sciences,Estate Management,277,"A1, B2, C4, C4, C5",4,54.23,50.0,not admitted
Clinical Sciences,Medicine and Surgery,327,"A1, C4, B3, B3, C5",28,84.47,80.8,admitted
Science,Cell Biology & Genetics,389,"B2, C4, A1, C6, C5",12,75.42,50.0,admitted
Basic Medical Sciences,Pharmacology,351,"A1, C4, C4, B2, C5",26,85.47,72.625,admitted
Social Sciences,Sociology,376,"B2, B2, B2, C6, B2",0,63.4,66.15,not admitted
Education,Technology Education,393,"A1, A1, C4, B3, A1",28,95.12,50.0,admitted
Arts,French,214,"B3, C5, C4, A1, B2",2,44.75,66.55,not admitted
Engineering,Mechanical Engineering,359,"C5, B2, C5, A1, C4",19,79.08,50.0,admitted
Clinical Sciences,Radiography,278,"C4, A1, B3, B3, C4",20,70.75,72.525,considered
Social Sciences,Geography,318,"C6, A1, B3, C5, C4",26,80.15,50.0,admitted
Environmental Sciences,Architecture,278,"B2, C4, C5, C5, C6",19,66.95,50.0,admitted
Clinical Sciences,Medicine and Surgery,342,"C6, C5, C4, A1, C6",1,56.95,80.8,not admitted
Science,Marine Biology,345,"C4, B2, C4, B2, C5",20,78.33,50.0,admitted
Basic Medical Sciences,Physiology,288,"C6, C6, C4, B2, A1",18,68.4,71.55,considered
Education,Educational Administration,218,"C6, C6, B3, C6, B2",1,41.05,50.0,not admitted
Law,Law,220,"C4, C4, C6, C4, C5",4,44.3,68.65,not admitted
Environmental Sciences,Estate Management,262,"C6, B2, C6, B3, B3",6,52.75,50.0,not admitted
Education,Educational Foundations,264,"B2, C5, A1, C4, C4",6,54.6,50.0,not admitted
Management Sciences,Finance,325,"C4, C5, C6, B2, B3",22,76.62,68.9,admitted
Pharmacy,Pharmacy,266,"B2, A1, B2, B3, C6",28,77.65,76.125,admitted
Dental Sciences,Dentistry,353,"C6, C6, B2, B2, A1",5,64.33,77.4,not admitted
Engineering,Mechanical Engineering,372,"A1, C6, C5, C4, C4",0,60.5,50.0,not admitted
Law,Law,262,"C5, C4, B2, A1, C4",7,55.35,68.65,not admitted
Law,Law,274,"C4, C4, A1, C6, C4",8,56.65,68.65,not admitted
Law,Law,229,"C6, C5, C4, A1, B3",11,54.02,68.65,not admitted
Arts,Philosophy,307,"C4, C5, B2, C6, C6",26,77.17,67.4,admitted
Science,Zoology,312,"B2, B2, C6, B3, C6",17,70.4,50.0,admitted
Pharmacy,Pharmacy,346,"C5, C6, C4, C5, B3",19,75.05,76.125,considered
Basic Medical Sciences,Medical Laboratory Science,258,"C6, C6, B2, C4, C5",3,48.05,74.675,not admitted
Clinical Sciences,Nursing,311,"B2, B2, C6, C4, A1",6,60.88,70.875,not admitted
Dental Sciences,Dentistry,315,"C5, B3, B2, A1, A1",5,61.58,77.4,not admitted
Science,Marine Biology,382,"C4, B2, C5, C4, C6",20,81.35,50.0,admitted
Basic Medical Sciences,Physiology,253,"B2, B2, B3, C5, B2",15,63.02,71.55,considered
Clinical Sciences,Nursing,338,"B2, B2, B3, A1, C5",24,83.05,70.875,admitted
Basic Medical Sciences,Physiology,286,"B3, C6, B2, C6, C6",16,64.55,71.55,considered
Social Sciences,Social Work,328,"C4, C4, B2, B3, B2",19,76.0,50.0,admitted
Management Sciences,Business Administration,260,"C5, C6, C4, C6, A1",17,62.7,68.65,considered
Dental Sciences,Dentistry,250,"A1, C6, A1, B3, C5",24,70.85,77.4,considered
Social Sciences,Sociology,269,"C4, C6, C5, B3, B3",28,75.22,66.15,admitted
Social Sciences,Social Work,220,"B3, C4, B3, C4, C5",5,46.9,50.0,not admitted
Law,Law,340,"A1, C5, C4, C4, A1",8,66.5,68.65,not admitted
Law,Law,362,"C5, B3, C4, C6, B2",29,88.25,68.65,admitted
Environmental Sciences,Quantity Surveying,321,"C5, A1, C5, B3, B2",24,79.72,50.0,admitted
Arts,Chinese,360,"B3, B2, C5, C4, C6",13,72.0,66.7,admitted
Management Sciences,Accounting,203,"C5, C4, B2, B3, B2",5,45.98,74.1,not admitted
Arts,English,334,"C5, A1, A1, C6, C5",4,60.55,68.175,not admitted
Environmental Sciences,Urban & Regional Planning,378,"A1, C4, C5, C4, C4",28,90.05,50.0,admitted
Law,Law,359,"B2, B3, B3, C4, C5",2,62.08,68.65,not admitted
Pharmacy,Pharmacy,331,"B3, C5, C4, B2, B3",13,69.58,76.125,considered
Engineering,Civil & Environmental Engineering,358,"C6, C5, B2, C5, C6",19,76.15,50.0,admitted
Engineering,Metallurgical & Material Engineering,272,"C4, C5, A1, C4, A1",21,71.0,50.0,admitted
Arts,History & Strategic Studies,287,"B2, A1, C4, A1, B2",11,64.88,68.6,not admitted
Management Sciences,Accounting,367,"B3, B2, A1, A1, C6",10,72.67,74.1,not admitted
Social Sciences,Political Science,386,"B3, A1, C5, C4, C6",7,69.65,68.6,not admitted
Dental Sciences,Dentistry,344,"A1, C6, A1, C5, A1",1,60.4,77.4,not admitted
Arts,Christian Religious Studies,205,"B2, B2, C6, C6, C4",13,52.62,61.625,considered
Dental Sciences,Dentistry,207,"C6, A1, C6, B3, A1",20,61.08,77.4,considered
Science,Chemistry,310,"C6, B2, A1, A1, B2",22,77.95,50.0,admitted
Science,Botany,220,"C5, A1, B3, C4, C5",12,54.3,50.0,admitted
Education,Early Childhood Education,279,"B3, B2, C4, A1, C5",27,77.88,50.0,admitted
Arts,Russian,374,"C6, B2, B2, C4, A1",20,82.75,67.65,admitted
Arts,Islamic Religious Studies,337,"C6, C5, A1, C6, B3",0,55.73,60.225,not admitted
Arts,Islamic Religious Studies,397,"C4, B3, C4, B2, B3",9,74.22,60.225,not admitted
